Sample_ID,SampleID,Generation,planting_group,Treatment,G2_treatment,Mother_plant,G1_treatment,G1_G2,growth_chamber,shelf,extr_group,sample_type,species,Project,Genotype,Compartment,soil_type,soil_batch,longitude,latitude,environment,Location,Group,Replicate
G2_131,G2_131,G2,2,Nutrient,Nutrient,C5,Control,Control_Nutrient,1,bottom,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_160,G2_160,G2,3,Control,Control,C2B,Control,Control_Control,1,top,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_93,G2_93,G2,2,Control,Control,N5B,Nutrient,Nutrient_Control,1,top,g2_0121,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_33,G2_33,G2,1,Drought,Drought,C2,Control,Control_Drought,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_35,G2_35,G2,1,Control,Control,N2,Nutrient,Nutrient_Control,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_38,G2_38,G2,1,Nutrient,Nutrient,C11,Control,Control_Nutrient,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_40,G2_40,G2,1,Nutrient,Nutrient,N8,Nutrient,Nutrient_Nutrient,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_42,G2_42,G2,1,Drought,Drought,C10,Control,Control_Drought,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_45,G2_45,G2,1,Control,Control,C11,Control,Control_Control,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_PC_0709,G2_PC_0709,G2,,,,,,,,,g2_0709,positive,control_sample,multigen,,control,,,,,,Michigan,Michigan_,
G2_NC_0709,G2_NC_0709,G2,,,,,,,,,g2_0709,negative,control_sample,multigen,,control,,,,,,Michigan,Michigan_,
G2_22,G2_22,G2,1,Control,Control,N15,Nutrient,Nutrient_Control,1,top,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_24,G2_24,G2,1,Drought,Drought,C11,Control,Control_Drought,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_23,G2_23,G2,1,Nutrient,Nutrient,D7,Drought,Drought_Nutrient,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_PC_0714,G2_PC_0714,G2,,,,,,,,,g2_0714,positive,control_sample,multigen,,control,,,,,,Michigan,Michigan_,
G2_NC_0714,G2_NC_0714,G2,,,,,,,,,g2_0714,negative,control_sample,multigen,,control,,,,,,Michigan,Michigan_,
G2_26,G2_26,G2,1,Nutrient,Nutrient,N2,Nutrient,Nutrient_Nutrient,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_29,G2_29,G2,1,Control,Control,C10,Control,Control_Control,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_32,G2_32,G2,1,Control,Control,C2,Control,Control_Control,1,bottom,g2_0709,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_1,G2_1,G2,1,Drought,Drought,N11,Nutrient,Nutrient_Drought,1,top,g2_0714,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
G2_3,G2_3,G2,1,Control,Control,D15,Drought,Drought_Control,1,top,g2_0714,sample,Phaseolus_vulgaris_L.,multigen,Red_Hawk,seed,agricultural,,,,growth_chamber,Michigan,Michigan_Red_Hawk,
